,amount,aot_0_max,aot_0_mean,aot_0_min,aot_0_std,ncs_412_max,ncs_412_mean,ncs_412_min,ncs_412_std,ncs_443_max,ncs_443_mean,ncs_443_min,ncs_443_std,ncs_469_max,ncs_469_mean,ncs_469_min,ncs_469_std,ncs_488_max,ncs_488_mean,ncs_488_min,ncs_488_std,ncs_531_max,ncs_531_mean,ncs_531_min,ncs_531_std,ncs_547_max,ncs_547_mean,ncs_547_min,ncs_547_std,ncs_555_max,ncs_555_mean,ncs_555_min,ncs_555_std,ncs_645_max,ncs_645_mean,ncs_645_min,ncs_645_std,ncs_667_max,ncs_667_mean,ncs_667_min,ncs_667_std,ncs_678_max,ncs_678_mean,ncs_678_min,ncs_678_std,nsst_0_max,nsst_0_mean,nsst_0_min,nsst_0_std,sst_0_max,sst_0_mean,sst_0_min,sst_0_std,aot_0_raw_ippa_mean,ncs_412_raw_ippa_mean,ncs_443_raw_ippa_mean,ncs_469_raw_ippa_mean,ncs_488_raw_ippa_mean,ncs_531_raw_ippa_mean,ncs_547_raw_ippa_mean,ncs_555_raw_ippa_mean,ncs_645_raw_ippa_mean,ncs_667_raw_ippa_mean,ncs_678_raw_ippa_mean,nsst_0_raw_ippa_mean,sst_0_raw_ippa_mean,aot_0_raw_ippa_std,ncs_412_raw_ippa_std,ncs_443_raw_ippa_std,ncs_469_raw_ippa_std,ncs_488_raw_ippa_std,ncs_531_raw_ippa_std,ncs_547_raw_ippa_std,ncs_555_raw_ippa_std,ncs_645_raw_ippa_std,ncs_667_raw_ippa_std,ncs_678_raw_ippa_std,nsst_0_raw_ippa_std,sst_0_raw_ippa_std,aot_0_raw_ippa_mean_ippa_std,ncs_412_raw_ippa_mean_ippa_std,ncs_443_raw_ippa_mean_ippa_std,ncs_469_raw_ippa_mean_ippa_std,ncs_488_raw_ippa_mean_ippa_std,ncs_531_raw_ippa_mean_ippa_std,ncs_547_raw_ippa_mean_ippa_std,ncs_555_raw_ippa_mean_ippa_std,ncs_645_raw_ippa_mean_ippa_std,ncs_667_raw_ippa_mean_ippa_std,ncs_678_raw_ippa_mean_ippa_std,nsst_0_raw_ippa_mean_ippa_std,sst_0_raw_ippa_mean_ippa_std,diff_amount,change_amount
2017.01.31,1,241,100.735211761,1,87.5935905049,241,74.2581415175,1,66.6084398413,241,64.8067921872,1,56.4567573543,241,89.8560657985,1,88.7515641921,241,113.208185354,1,80.7901959555,241,99.2310702407,16,65.8839390681,241,61.1768128282,1,59.6374859272,241,97.7334344967,1,64.0970374306,193,111.975741935,1,77.5135130275,225,138.2354815,1,47.0756394541,241,47.8259575044,1,45.0629763108,241,87.861994077,16,91.2538831032,241,78.3840909091,16,75.9381938971,29.88166163743909,141.7778604611887,125.49878547745053,111.76615855951424,103.95216984579983,88.32446289867808,86.16147806272768,88.12503051149805,116.67708477644473,126.81031809803525,129.32687083311893,162.218810326245,164.14361416214845,16.87908476860633,25.25717566894388,21.16054082869577,19.815433373143488,19.37890048670712,19.423099088741623,19.064015585712934,18.726723504072996,17.315840812140785,17.579959463182064,17.569977279398234,11.251845735917634,11.045400292124391,0.28480598516628025,3.5258212741658634,1.798430016004591,1.0572429551745455,0.7788979599994055,0.4742774842575469,0.46227943556540213,0.48606812535536775,2.208417172308906,2.3009138842692143,2.3773823352646395,1.4758094431284745,1.4777044141617717,1,1
2016.11.20,0,241,85.1298808056,16,77.5557738072,241,107.199522103,1,88.5776294076,241,80.9907692308,1,68.7717511842,241,76.5357737105,1,59.0550306102,241,72.5054390054,1,75.793044765,241,31.1121047589,1,39.4907848237,241,131.404333333,1,82.0772411485,241,161.241748024,1,63.8113003369,225,23.3895695884,1,26.9938086111,225,96.302757158,1,27.4041869461,241,106.495908929,1,29.4330194436,241,86.569104355,16,73.7522136672,241,81.3803788734,16,76.950372095,28.55763551500375,162.7100804823772,138.57388489051255,120.03468677101998,111.6398043870303,90.69268539086752,88.00761868018446,89.8032049765036,125.2817221279803,136.1744759298628,139.13890617946356,176.82214401082277,178.4266024536872,14.840586343855506,21.521800167423148,20.337406335977445,20.21298647915435,20.29455123832621,19.875051202845164,19.953996158808078,19.756851546514323,17.013520636740378,17.69071559978094,18.179125245756033,8.777338695780251,8.737764422912607,0.8544266565629977,4.2021872714268955,6.585372185695648,5.499170710596661,3.88696437455514,3.343560655207168,3.2524800470097874,3.2641028153251783,3.20179199898735,3.426285837280586,3.326966136556592,3.038849714474048,3.542547867021731,0,0
2018.12.24,0,241,74.1363636364,16,71.6163178987,241,70.6865671642,1,62.113571703,193,77.0298507463,1,64.2813243576,241,140.240310078,1,100.41261967,241,102.302325581,1,82.6781004206,241,75.1007194245,16,65.0028549416,241,84.9583333333,1,65.5843471967,241,48.5542168675,16,47.0370920061,241,198.76300578,16,84.5834841979,193,30.1933701657,16,39.6321645174,177,46.6368715084,16,33.8474557479,241,94.7773868543,16,82.563176381,241,121.645973154,16,93.5412759298,29.06500933590775,141.93212284615598,121.88555647018121,106.01851089346393,97.69668398960624,84.22185239532507,82.77229002382003,84.87474798086444,121.61012291773538,131.77779732160704,134.6085508694783,168.87441289737626,170.91050905813745,15.334777108775867,24.0397060163603,22.892293163412926,21.8956955187973,22.21481882195536,25.15441355902664,25.33523834674379,25.05236489495552,21.95805503602384,20.71471497982243,20.567633872200762,12.585173949644254,12.177194167392356,0.7511327478172165,4.5446734196001275,3.0737568427067434,2.230726131518583,1.684708873647014,0.9180366278623007,0.8627254073081079,0.905829948284286,1.9606092347791577,1.4778752218565572,1.235190991729976,2.327509194194789,2.602770071035465,-1,-1
2016.01.10,1,129,116.444444444,16,35.5124738996,225,90.4137931034,16,84.7432297128,177,63.4,16,65.171773031,113,51.0344827586,1,48.1652920957,161,80.1470588235,16,55.5243096485,16,4.5,1,6.34428877022,113,71.3421052632,16,45.0842931663,193,111.586206897,16,80.525651189,129,129.0,129,0.0,225,225.0,225,0.0,33,25.1891891892,16,8.47201382562,241,92.6356514927,1,80.5636471859,225,96.6064257028,16,75.4564006062,33.247018670809126,147.51892708885472,126.10745205469867,110.9735445848006,102.48027695704123,87.90046025390062,85.99369359440628,88.08190980003184,122.9628175725674,132.1055172739534,134.25126784118004,169.21182893466366,172.27525153391727,15.073931248767622,23.781402638552457,20.672813554112825,20.52409889953818,20.420247049606665,21.099855967461977,21.400165039282527,21.431884849819294,21.833326914320956,22.12734191008863,22.15249276678539,9.529031272872478,9.161593946009525,1.7841940862134427,1.2914865137396658,1.2072185608878612,0.9582257881251908,0.8253502265022464,0.7621318372668732,0.7663924346910017,0.775158830112923,1.7688230853350457,2.0248693290985385,2.114787581653973,1.0151105154432924,1.1660302647068068,-2,-1
2014.04.03,1,241,130.843481509,16,89.9226900319,241,82.1203228173,1,77.3410388654,241,91.0996254682,1,79.4942428359,241,106.03606311,1,90.6512718865,241,90.853792598,1,72.6844696125,193,64.6547420965,1,65.8662470022,193,70.0976200081,1,68.9281049578,193,74.0287335935,1,63.7572458933,241,124.506232023,16,93.2433013152,225,36.1110370123,16,34.8877685398,193,145.042155425,16,63.7035154892,241,73.1057124097,16,80.3335307771,241,105.154870941,16,90.8871921928,33.98392353849976,161.03904024956276,144.63151980229787,129.9507686131399,121.27910948479968,110.8114113096286,108.46668794619133,110.58765052658597,151.24789768716795,162.62082355051064,165.38382613531473,162.39440242412854,166.16940572173695,16.04112569574681,25.067260225455218,22.854008235056988,21.182864451036544,20.064603639937157,20.336272047295108,20.738303776313565,20.301643227952212,21.728290946512463,21.150465124324008,20.95622769524395,12.943330708327368,12.839241676296606,1.5494558147837856,4.315370422758367,4.127935932942004,3.712614333729425,3.313339580256205,3.6102700842968862,3.7226396696563087,3.680220666248027,6.460143314935875,6.5442868577891735,6.468109359890982,1.0126697620903413,0.6731743346179822,1,1
2016.04.14,1,241,101.362698413,1,85.78782079,241,80.7502010185,1,75.7528093414,241,101.33033419,1,89.1072236469,241,70.599522293,1,52.0977071779,241,83.8050282196,1,60.5739857783,193,101.046216353,1,67.8866081524,241,107.713389692,1,76.4242671176,225,75.5909748337,1,59.2169997795,193,30.5836640902,1,27.1732722156,177,106.034889435,1,30.4924570594,225,41.8555964052,1,39.3813341898,241,94.9872192806,16,83.5812649144,241,92.5084382764,16,79.9005943589,35.029267811883976,162.94700201417524,147.2199963896859,132.74724951070743,124.55270821061433,115.11897410074677,112.94455317612632,115.00286924962472,160.80118332794953,173.07919176468351,175.4387386702643,165.79187348675077,169.63872362222983,16.464521547318668,25.497198800154926,26.3359390739337,26.11760348863214,26.69082959875357,25.513585571025846,25.921844921321274,25.460805819871325,26.09258737852492,24.7167987892324,24.024430814298046,12.005121833258332,11.668460318790107,1.1114662135538822,3.1866916344184,3.563574316308614,3.388333208607558,3.16635845938093,3.0689511317753424,3.465485846264088,3.1356972863225616,6.727555445316843,7.246245627377276,7.171153626482609,2.603829930284805,2.5664569785699114,1,1
2014.09.26,1,241,101.843601896,16,93.3812406662,193,76.711627907,1,67.2824010622,241,64.6367713004,1,70.3616404129,241,100.727722772,16,90.5986696062,193,69.0,16,63.67508486,241,128.50212766,16,105.975564203,209,112.317880795,16,41.3405131154,209,90.3450980392,16,80.2881973445,161,122.733840304,16,63.134155213,81,15.8545454545,1,15.7473439975,113,101.069518717,16,31.8578138113,241,80.1650764804,1,62.2177224724,161,58.8773584906,1,48.8849958647,29.119683954874727,180.99897710793454,162.409447183876,151.74559120571783,132.4185574001451,113.45516122927465,115.31924914543194,117.46981173606795,165.78985394655066,168.339222819173,170.33818195199393,185.33290581468884,190.87057745332555,14.136067333909088,32.18862124851826,34.61497981171866,31.501582647573688,31.087985168819607,26.25061118795999,26.907122561735054,26.812208907697816,28.138468008805,28.062020924013527,27.488186718584476,7.046292151320745,5.722401419224975,1.2651212471327826,1.5501750282527893,3.0302637530952943,2.300155107327003,2.2007977013791207,1.3571081860272096,1.4658247268165734,1.6493085343420881,3.612213239663383,3.7362850349762007,3.766489929840202,0.6645568359697277,0.41330959532743305,0,0
2015.08.30,4,241,109.078131293,16,90.1327495548,241,93.2359870024,1,81.4617917433,241,80.4457831325,1,73.3750960863,241,85.2620299232,1,84.2220559755,241,110.396302251,1,91.1055605855,193,98.6288150808,1,72.7010924714,241,95.5555555556,16,91.5253280913,225,60.9694390716,16,65.7623662483,193,65.5892008639,1,57.1154275551,225,35.2745165746,1,35.6774161709,225,48.3098330241,1,37.0872525316,241,51.4409502262,1,50.0923933406,193,34.285669587,1,40.7702443386,29.570595864677383,173.61454977532696,158.47031889345394,141.33516530412444,131.4409783527325,115.59903938681416,110.92447304342005,112.78664178667358,167.5409875572142,179.4348080028785,181.72162132762097,187.3318137515384,192.78000506826416,15.211112846975807,30.5086843747308,29.259688316123434,23.543490037574088,20.245019515652743,16.949936183675472,17.40874921710748,17.39140046458238,21.826610294298163,20.945289063955435,20.592908428689086,7.693261899642422,7.329378966813838,1.8986943714472737,1.2660837666338178,2.272609765199731,2.3718188910629747,1.5796484793053591,0.7430140024719828,1.1767440209179907,1.2709381720944501,1.1598956946213486,1.281441698701775,1.3897310126740607,1.71728718614811,1.7461379158044568,1,1
2017.02.11,1,241,103.531434185,16,91.4849526212,241,101.169627891,1,85.1081309581,241,77.1746621622,1,65.4986917026,241,72.9426981009,1,55.3591032422,241,59.5546583851,1,64.2286080591,241,39.0685349612,1,46.3073625792,241,65.9102496017,1,73.9390666161,241,135.520771513,1,98.1052711494,241,20.0176425467,1,26.7370874293,241,109.257914339,1,53.1041943176,241,93.031512605,1,63.3068843965,241,96.0668115849,16,91.6842885704,241,105.150848765,16,93.1871913433,30.92325169627286,145.61818778871884,128.62269029886778,113.896339885956,105.58109976081545,89.08928360668051,88.0655449990903,90.37206732667995,117.61909748878406,127.99279229106853,130.49999778121935,160.0266180249188,162.0252450596953,16.51788377486659,22.355624436626943,19.941665674402238,18.664503601834245,18.146924758702863,18.747469132292245,18.665218946072166,18.471702188923295,15.40526308742864,15.728030685737835,15.756761805739224,11.250552440066713,10.935122228529465,0.4608059019968984,1.9956263204640359,1.2488691004746364,1.0919631689859977,1.0168079815209128,0.578279634754548,0.8637077347962279,0.9110258393299976,1.178785820786539,1.3082755686574268,1.3700258040672,1.8045780123571578,1.6150711633917127,0,0
2019.01.14,0,241,117.984416572,1,95.1645204902,241,104.408819133,1,89.6246089815,241,56.635987979,1,51.9262331205,241,88.9840060929,1,87.6536694964,241,119.205915813,1,89.6688619947,241,94.7878566203,16,82.9379972996,241,110.082470785,16,66.8407037368,241,99.5839694656,16,74.002179404,161,95.0377685378,1,36.7576717457,193,120.797227036,16,46.7754930643,193,45.6542938031,16,27.4352511723,241,82.5660619911,16,84.6466172192,241,87.8682997118,16,79.443835512,27.702308628835272,139.54882704860813,125.09675700831568,110.77229709869815,102.54593676901032,86.98292622438858,85.27830422642157,87.38126431361982,113.27559612016705,123.68460742409954,126.67214768593928,162.35700326736946,164.59400177439352,15.399583116070582,21.698571352946292,18.838470449034478,19.807131761600882,20.52030701462688,21.608085764574383,21.5450329502234,21.282648343334213,18.53460471430153,18.239702432013758,18.105522343966303,13.192226317389508,12.315960287096356,0.7517760845251056,3.082203940307182,1.1771146452215788,1.670577264711487,1.7631036979786965,1.048913494736954,1.0320968805805206,1.0358519695486572,3.413593958499483,3.526938277417699,3.427896577193867,3.1264940113293895,3.0647403131575532,0,0
